Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
DOK6,0.51,1.86E-08,0.0003053,7.730487056,Similar
TBX5,-2.129,5.66E-08,0.0004191,7.247183569,Decreased
SLC32A1,0.9003,7.66E-08,0.0004191,7.11577123,Similar
IFITM1,-1.687,3.74E-06,0.006809,5.427128398,Decreased
NUP93,0.3659,3.37E-06,0.006809,5.472370099,Similar
EMILIN2,1.534,2.98E-06,0.006809,5.525783736,Increased
TPX2,-0.9974,2.10E-06,0.006809,5.677780705,Similar
LAMA2,-1.425,2.39E-06,0.006809,5.621602099,Decreased
CAV2,-1.052,3.21E-06,0.006809,5.493494968,Decreased
TNN,-1.658,8.97E-06,0.01472,5.047207557,Decreased
POU3F4,1.181,1.06E-05,0.01584,4.974694135,Increased
COL13A1,-1.647,1.39E-05,0.01592,4.8569852,Decreased
IFITM3,-1.61,1.20E-05,0.01592,4.920818754,Decreased
SHISA3,-1.477,1.31E-05,0.01592,4.882728704,Decreased
LOC285954,1.05,1.46E-05,0.01592,4.835647144,Increased
VEPH1,1.137,2.21E-05,0.02267,4.655607726,Increased
ARHGAP29,-1.526,3.68E-05,0.03547,4.434152181,Decreased
KIAA1755,-1.562,3.97E-05,0.0362,4.401209493,Decreased
LAMC3,-1.563,4.29E-05,0.03704,4.367542708,Decreased
ITM2A,-1.398,4.97E-05,0.04078,4.303643611,Decreased
DTHD1,1.54,5.59E-05,0.04371,4.252588192,Increased
RBMS1,-0.9139,6.69E-05,0.04988,4.174573882,Similar
CEBPD,-1.202,7.86E-05,0.05606,4.104577454,Decreased
DMBX1,-1.425,9.53E-05,0.06486,4.020907099,Decreased
PAPLN,-1.253,9.88E-05,0.06486,4.005243055,Decreased
ADM,-1.357,0.0001089,0.06872,3.96297212,Decreased
COL2A1,-1.187,0.0001424,0.07794,3.846490011,Decreased
HS3ST3A1,-1.004,0.0001388,0.07794,3.857610534,Decreased
DYSF,-1.03,0.0001425,0.07794,3.846185136,Decreased
PI16,1.495,0.0001297,0.07794,3.887060024,Increased
CDC42EP5,-1.355,0.0001581,0.08146,3.80106813,Decreased
SLC12A8,-0.9425,0.0001589,0.08146,3.798876103,Similar
ZNF391,-1.024,0.0001913,0.09512,3.71828503,Decreased
GALNTL2,1.075,0.0002298,0.1109,3.638649976,Increased
C4orf45,1.288,0.0002472,0.1159,3.606951534,Increased
KIF18B,-0.8849,0.0002551,0.1162,3.593289541,Similar
KIF20A,-0.9505,0.0002972,0.1318,3.526951195,Similar
PDE1B,1.053,0.0003356,0.1449,3.474178048,Increased
BCAN,1.117,0.0003698,0.1477,3.432033093,Increased
APLNR,-1.365,0.000378,0.1477,3.4225082,Decreased
CILP,-1.11,0.0003582,0.1477,3.445874418,Decreased
TEC,-1.373,0.0003701,0.1477,3.431680915,Decreased
KLF5,-0.8177,0.0004159,0.1578,3.38101108,Similar
ACSS2,-0.5578,0.0004232,0.1578,3.373454341,Similar
RAPGEF2,0.3371,0.0004513,0.1645,3.345534666,Similar
C1orf51,-0.6451,0.0005237,0.1665,3.280917426,Similar
IGF2-AS1,-1.235,0.0005835,0.1665,3.23395914,Decreased
RPLP0P2,-1.096,0.0005689,0.1665,3.244964066,Decreased
COTL1,-0.7376,0.0005886,0.1665,3.230179742,Similar
MYO1D,-0.8454,0.0005529,0.1665,3.25735341,Similar
CIAO1,0.2695,0.000522,0.1665,3.282329497,Similar
POU3F3,0.6857,0.000588,0.1665,3.230622674,Similar
CFLAR,-0.9694,0.0005598,0.1665,3.251967106,Similar
BHLHE40,-1.127,0.0004785,0.1665,3.320118058,Decreased
PLSCR4,-1.317,0.0004978,0.1665,3.302945108,Decreased
HECW1,0.5135,0.0005373,0.1665,3.269783159,Similar
KCNQ3,1.147,0.000483,0.1665,3.316052869,Increased
TIMP1,-1.15,0.0005267,0.1665,3.278436682,Decreased
CAV1,-1.115,0.0006722,0.1869,3.172501492,Decreased
LTBP4,-0.8186,0.0006991,0.1912,3.155460698,Similar
HDAC1,-0.4542,0.0007203,0.1937,3.142486585,Similar
HSPG2,-1.218,0.0007963,0.1947,3.098923284,Decreased
CYR61,-1.102,0.0008071,0.1947,3.093072653,Decreased
MYOF,-1.194,0.0007397,0.1947,3.130944381,Decreased
COL4A1,-1.252,0.0007866,0.1947,3.104246058,Decreased
NMB,0.8677,0.0007872,0.1947,3.103914915,Similar
ICAM1,-1.144,0.0007795,0.1947,3.10818388,Decreased
NOTCH3,-0.7585,0.0007529,0.1947,3.123262703,Similar
MPPED2,0.5135,0.0008344,0.1984,3.078625705,Similar
COL9A1,-0.9755,0.0008905,0.2087,3.050366076,Similar
ACSF2,-1.142,0.0009448,0.2183,3.024660115,Decreased
KTN1,-0.3119,0.0009652,0.2199,3.015382687,Similar
ITPR1,-1.118,0.00102,0.226,2.991399828,Decreased
PRPS2,-0.722,0.00101,0.226,2.995678626,Similar
FAM180B,1.249,0.001146,0.2399,2.940815382,Increased
POU2F3,-1.273,0.001114,0.2399,2.953114809,Decreased
COL5A2,-1.262,0.001155,0.2399,2.937418016,Decreased
ZSWIM3,0.438,0.001143,0.2399,2.94195377,Similar
CADM2,0.643,0.001102,0.2399,2.957818405,Similar
ARHGEF17,-0.5462,0.001214,0.2453,2.915781313,Similar
SSC5D,-1.126,0.001229,0.2453,2.910448117,Decreased
NRN1,0.8605,0.001241,0.2453,2.906228219,Similar
PLAT,-1.103,0.001226,0.2453,2.91150953,Decreased
SFXN2,-0.8373,0.00126,0.2456,2.899629455,Similar
FMNL2,-0.2466,0.001276,0.2456,2.894149326,Similar
ADAMTS3,-0.6153,0.001288,0.2456,2.890084137,Similar
ADAMTS19,-1.199,0.001348,0.2543,2.870310108,Decreased
SH3BP1,-0.9641,0.001367,0.2548,2.864231485,Similar
LEFTY2,-1.225,0.001414,0.2578,2.849550591,Decreased
EHBP1,0.3191,0.001414,0.2578,2.849550591,Similar
UAP1L1,-1.113,0.001454,0.2622,2.837435593,Decreased
RAB27A,-1.073,0.001516,0.2702,2.819300799,Decreased
ZNF213,0.3028,0.001604,0.28,2.794795636,Similar
TOMM34,-0.4213,0.001596,0.28,2.796967113,Similar
PERP,-0.914,0.001672,0.2888,2.776763727,Similar
OSMR,-1.226,0.001749,0.2988,2.757210191,Decreased
CDCA3,-0.7986,0.001911,0.3119,2.718739313,Similar
GPR179,0.8394,0.001972,0.3119,2.705093089,Similar
TMC6,-1.078,0.001977,0.3119,2.703993331,Decreased
STXBP5L,0.6711,0.001936,0.3119,2.713094647,Similar
HSPA1L,0.8842,0.001851,0.3119,2.732593581,Similar
PLIN2,-0.604,0.001866,0.3119,2.729088361,Similar
GSN,-1.117,0.001977,0.3119,2.703993331,Decreased
F8A1,0.9911,0.00191,0.3119,2.718966633,Similar
SLC27A6,-1.196,0.001998,0.3121,2.699404516,Decreased
COL4A2,-1.013,0.002192,0.3157,2.65915945,Decreased
WFDC1,-1.162,0.002149,0.3157,2.667763585,Decreased
DSEL,0.6867,0.002194,0.3157,2.658763377,Similar
DOCK6,-0.8158,0.002172,0.3157,2.663140179,Similar
MAN2B1,-0.4688,0.002099,0.3157,2.677987561,Similar
NFKBIZ,-0.888,0.002132,0.3157,2.6712128,Similar
OCIAD2,0.7605,0.002108,0.3157,2.676129393,Similar
REST,-0.5478,0.002073,0.3157,2.683400698,Similar
ANXA5,-0.8639,0.002075,0.3157,2.682981899,Similar
TRIM13,0.3688,0.002254,0.3216,2.647046088,Similar
ANLN,-0.7229,0.002306,0.3261,2.637140697,Similar
AP1S3,-0.8107,0.002352,0.3271,2.628562683,Similar
LOC100859930,0.9008,0.002343,0.3271,2.630227711,Similar
STK17B,-0.887,0.00238,0.3281,2.623423043,Similar
BHLHB9,0.4738,0.002441,0.3337,2.612432221,Similar
IL1R1,-1.185,0.00248,0.3362,2.605548319,Decreased
CSDA,-0.7633,0.002833,0.35,2.547753425,Similar
POSTN,-1.176,0.002706,0.35,2.567672208,Decreased
HHIPL1,0.8127,0.002742,0.35,2.56193255,Similar
APBA2,0.4314,0.002752,0.35,2.56035157,Similar
CBLN1,1.066,0.002768,0.35,2.557833914,Increased
ALPK2,-1.108,0.002789,0.35,2.554551486,Decreased
NFATC2,-1.108,0.002726,0.35,2.564474149,Decreased
CN5H6.4,0.7852,0.002792,0.35,2.554084586,Similar
ABHD14B,-1.03,0.002859,0.35,2.543785845,Decreased
COL8A1,-1.171,0.002841,0.35,2.546528766,Decreased
HCG11,-0.8357,0.002844,0.35,2.546070408,Similar
RUNX2,-0.88,0.002632,0.35,2.579714115,Similar
EPB41L2,-0.9145,0.002832,0.35,2.547906751,Similar
COL11A1,-1.145,0.002903,0.3528,2.537152964,Decreased
PODN,-1.155,0.003085,0.3722,2.510744832,Decreased
NET1,-1.015,0.00311,0.3724,2.507239611,Decreased
IL13RA1,-1.106,0.003139,0.3731,2.503208684,Decreased
RNF207,-0.7995,0.003239,0.3798,2.489589052,Similar
TRPM2,1.05,0.003246,0.3798,2.488651485,Increased
SDF2L1,-0.4649,0.003298,0.3798,2.481749349,Similar
SLCO2A1,-1.094,0.003293,0.3798,2.482408269,Decreased
DACT2,-1.06,0.00331,0.3798,2.480172006,Decreased
DCXR,-0.4101,0.003335,0.38,2.476904162,Similar
BCAM,-0.8227,0.003423,0.3873,2.465593101,Similar
FAM46B,-1.002,0.00347,0.39,2.459670525,Decreased
FOXL1,-1.136,0.003579,0.3965,2.446238302,Decreased
SMTN,-0.7131,0.003625,0.3965,2.440691989,Similar
SLC6A1,0.7104,0.003616,0.3965,2.441771578,Similar
YY2,-0.5988,0.003612,0.3965,2.442252258,Similar
DEPDC1,-0.755,0.003704,0.3999,2.431329022,Similar
HEPACAM2,1.116,0.003727,0.3999,2.428640607,Increased
WBP5,-0.8485,0.003729,0.3999,2.428407617,Similar
SPSB1,-1.05,0.003878,0.4105,2.411392195,Decreased
KIF23,-0.7154,0.003953,0.4105,2.403073186,Similar
C1QL1,-1.072,0.003907,0.4105,2.408156589,Decreased
CBLN2,1.072,0.003934,0.4105,2.405165644,Increased
LOC100505806,-1.069,0.003912,0.4105,2.407601154,Decreased
POU3F1,0.7912,0.004163,0.4116,2.380593589,Similar
RGS8,0.9341,0.0043,0.4116,2.366531544,Similar
GAD2,0.7494,0.004273,0.4116,2.369267107,Similar
PKP2,-0.9689,0.004316,0.4116,2.364918564,Similar
KIAA0564,-0.4253,0.004323,0.4116,2.364214764,Similar
PIF1,-0.9292,0.004484,0.4116,2.348334396,Similar
OR1F1,0.8391,0.004052,0.4116,2.392330563,Similar
RRN3,0.3764,0.00431,0.4116,2.36552273,Similar
CORO1A,0.4844,0.004098,0.4116,2.387428046,Similar
CRISPLD2,-1.115,0.004242,0.4116,2.372429336,Decreased
TOP2A,-0.7962,0.004366,0.4116,2.359916269,Similar
ANKRD12,0.3062,0.004161,0.4116,2.380802284,Similar
DHDH,-0.811,0.004357,0.4116,2.36081244,Similar
ZNF274,0.3354,0.004118,0.4116,2.385313658,Similar
DPP4,-1.127,0.004023,0.4116,2.395449967,Decreased
TMEM169,0.7379,0.004108,0.4116,2.386369565,Similar
CMTM8,-0.7701,0.004417,0.4116,2.354872601,Similar
LAMP3,-0.9384,0.004515,0.4116,2.345342245,Similar
SYNJ2,-0.9266,0.004504,0.4116,2.346401618,Similar
DPY19L2P3,1.061,0.00448,0.4116,2.348721986,Increased
TSC22D4,-0.5131,0.00443,0.4116,2.353596274,Similar
AR,-0.5979,0.00436,0.4116,2.360513511,Similar
LOC339862,-1.109,0.004578,0.415,2.339324212,Decreased
CCDC152,0.9749,0.004621,0.4165,2.335264031,Similar
NQO2,-0.6663,0.004716,0.4228,2.326426204,Similar
CMTM5,1.096,0.004868,0.4341,2.31264943,Increased
SERPING1,-0.8202,0.004974,0.4411,2.303294219,Similar
TLCD2,-0.9392,0.005095,0.4494,2.292855812,Similar
ATXN7L3B,0.3532,0.005133,0.4503,2.289628736,Similar
APOE,-0.9273,0.005183,0.4523,2.285418791,Similar
GPC3,-1.073,0.005233,0.4542,2.281249265,Decreased
IRF1,-0.8166,0.00527,0.455,2.278189385,Similar
GNG2,0.3508,0.005368,0.4611,2.270187493,Similar
EPHX1,-0.5381,0.005794,0.4656,2.237021509,Similar
CLEC2D,-0.8191,0.005714,0.4656,2.243059764,Similar
PTPRB,-1.079,0.005753,0.4656,2.240105626,Decreased
NFATC4,-0.93,0.005692,0.4656,2.244735109,Similar
LGALS3,-0.9472,0.005809,0.4656,2.235898624,Similar
OTX2,0.8839,0.005746,0.4656,2.240634378,Similar
UACA,-1.058,0.005562,0.4656,2.254769015,Decreased
HAPLN3,-0.9001,0.005753,0.4656,2.240105626,Similar
MYO5B,-0.982,0.005461,0.4656,2.262727823,Similar
PVRL3,-0.4554,0.005817,0.4656,2.235300936,Similar
PRDM6,-1.068,0.005688,0.4656,2.245040412,Decreased
PDLIM7,-0.7154,0.005623,0.4656,2.250031916,Similar
TSPYL4,0.3561,0.005811,0.4656,2.235749125,Similar
CHRM2,0.9253,0.005564,0.4656,2.254612879,Similar
PMEL,-1.007,0.005987,0.4666,2.222790742,Decreased
GLIPR1,-1.05,0.006001,0.4666,2.221776373,Decreased
NLRC5,-0.9957,0.005976,0.4666,2.223589411,Similar
FAM117A,-0.4496,0.005934,0.4666,2.226652458,Similar
FAM83D,-0.7423,0.006,0.4666,2.22184875,Similar
C7,-1.072,0.005919,0.4666,2.22775166,Decreased
SERPINF1,-1.026,0.006158,0.4721,2.210560315,Decreased
PLEKHH2,-1.032,0.006134,0.4721,2.212256228,Decreased
GYPC,-1.042,0.006102,0.4721,2.214527797,Decreased
LAMB2,-0.5626,0.006196,0.4728,2.207888591,Similar
SYNPO2,-1.065,0.006232,0.4734,2.205372555,Decreased
SLCO4C1,0.9821,0.006278,0.4746,2.202178689,Similar
TNFAIP6,-1.011,0.006348,0.4777,2.197363082,Decreased
FKBP10,-0.7909,0.006391,0.4788,2.194431182,Similar
LAMC1,-0.9224,0.006516,0.4827,2.186018924,Similar
FAM150B,-1.066,0.006477,0.4827,2.188626103,Decreased
TM4SF1,-1.051,0.006532,0.4827,2.184953824,Decreased
PCK2,-0.9537,0.006608,0.4832,2.179929966,Similar
ZNF732,-0.949,0.006608,0.4832,2.179929966,Similar
SLC35D2,-0.8576,0.006626,0.4832,2.178748568,Similar
NOTCH2NL,-0.517,0.006761,0.4867,2.169989064,Similar
KRT19,-1.027,0.006764,0.4867,2.169796401,Decreased
PCDHGB7,1.014,0.006713,0.4867,2.173083353,Increased
LOC100128787,0.9828,0.006919,0.4872,2.159956669,Similar
PLXDC2,-0.554,0.00689,0.4872,2.161780778,Similar
SLFN11,-1.06,0.006835,0.4872,2.165261481,Decreased
NEDD4L,0.3903,0.006904,0.4872,2.160899217,Similar
SPATA2,0.3181,0.006851,0.4872,2.164246032,Similar
CDCP1,-1.047,0.007063,0.4931,2.151010794,Decreased
USP53,-0.4552,0.007063,0.4931,2.151010794,Similar
TRAF5,-0.9501,0.007369,0.4935,2.132591443,Similar
PHYHIPL,0.4773,0.007331,0.4935,2.13483678,Similar
A2M,-1.048,0.00719,0.4935,2.14327111,Decreased
C12orf34,0.596,0.007283,0.4935,2.13768969,Similar
LOC255480,-0.9411,0.007153,0.4935,2.145511775,Similar
LOC150622,0.9708,0.007286,0.4935,2.137510833,Similar
LOC100130451,0.9622,0.007342,0.4935,2.13418562,Similar
SNAI1,-1.023,0.00725,0.4935,2.139661993,Decreased
BCL2L13,0.1979,0.007251,0.4935,2.139602095,Similar
DSP,-0.9805,0.007197,0.4935,2.142848497,Similar
CERS2,-0.484,0.007538,0.4946,2.122743867,Similar
SEMA6C,0.5278,0.007425,0.4946,2.129303542,Similar
LRRC8E,-0.8766,0.007533,0.4946,2.123032033,Similar
RRAS,-0.8278,0.007486,0.4946,2.125750177,Similar
MASP1,0.6165,0.007535,0.4946,2.122916743,Similar
RHBDF1,-0.6514,0.00761,0.4974,2.118615343,Similar
UBQLN2,0.2471,0.007667,0.4991,2.115374537,Similar
DOCK1,-0.7425,0.007715,0.5003,2.11266407,Similar
DSCAML1,0.6893,0.007823,0.5033,2.10662667,Similar
ZNF197,0.417,0.0078,0.5033,2.107905397,Similar
LRIG3,-0.9736,0.008134,0.5161,2.089695832,Similar
CUX2,0.6015,0.008177,0.5161,2.087406002,Similar
UGGT2,-0.5188,0.008106,0.5161,2.091193401,Similar
HSDL1,0.2664,0.008179,0.5161,2.087299792,Similar
RBPMS,-0.7992,0.008079,0.5161,2.092642392,Similar
CD164,-0.757,0.00828,0.5205,2.081969663,Similar
L1TD1,-1.033,0.008321,0.5206,2.079824478,Decreased
PRDX6,-0.5123,0.008346,0.5206,2.07852162,Similar
FAM46C,-0.9537,0.008391,0.5215,2.076186279,Similar
ADAM33,-0.9939,0.008549,0.5293,2.068084683,Similar
TLK1,-0.2367,0.00876,0.5403,2.057495894,Similar
KCNK2,0.6097,0.008794,0.5404,2.055813539,Similar
POLR3A,0.2868,0.009062,0.5426,2.042775942,Similar
GANAB,-0.3036,0.009048,0.5426,2.043447408,Similar
CPOX,-0.3403,0.009023,0.5426,2.044649043,Similar
MICA,-0.859,0.008998,0.5426,2.045854011,Similar
POU3F2,0.4784,0.008894,0.5426,2.050902875,Similar
AUTS2,0.39,0.009006,0.5426,2.045468057,Similar
SYPL1,-0.4891,0.008937,0.5426,2.048808242,Similar
MSN,-0.3958,0.009132,0.5448,2.039434097,Similar
ZCCHC24,-0.9672,0.009169,0.545,2.037678027,Similar
GSTO1,-0.4109,0.009215,0.5458,2.03550466,Similar
XDH,0.954,0.00933,0.5486,2.030118356,Similar
PABPC1L2B,0.8795,0.009309,0.5486,2.03109697,Similar
POGK,0.2803,0.009736,0.5624,2.011619435,Similar
EFEMP2,-0.9948,0.009655,0.5624,2.015247722,Similar
MYADM,-0.7661,0.009726,0.5624,2.012065735,Similar
ORC4,0.3291,0.009609,0.5624,2.017321807,Similar
INSM1,0.5511,0.009701,0.5624,2.013183495,Similar
C14orf149,-0.5111,0.01024,0.5647,1.989700043,Similar
MFGE8,-0.6672,0.01011,0.5647,1.995248844,Similar
CEACAM1,-0.981,0.01007,0.5647,1.996970529,Similar
PLEKHA4,-0.8802,0.01021,0.5647,1.990974258,Similar
MERTK,-0.7662,0.009946,0.5647,2.002351545,Similar
Mar-04,0.6728,0.0103,0.5647,1.987162775,Similar
GBX2,0.8828,0.01022,0.5647,1.990549104,Similar
SDC4,-0.6983,0.009882,0.5647,2.00515515,Similar
ITGA9,-0.944,0.01008,0.5647,1.996539468,Similar
SCN5A,-0.9351,0.01019,0.5647,1.991825816,Similar
MFI2,-0.8345,0.01026,0.5647,1.988852639,Similar
RAB11FIP1,-0.7027,0.01033,0.5647,1.985899678,Similar
TPD52,-0.7816,0.01023,0.5647,1.990124366,Similar
KIAA2022,0.5636,0.01014,0.5647,1.993962045,Similar
TCEAL6,0.8956,0.01016,0.5647,1.993106292,Similar
MORC4,-0.9271,0.0103,0.5647,1.987162775,Similar
POC1B,-0.3673,0.01042,0.5659,1.982132281,Similar
MRC2,-0.6332,0.01039,0.5659,1.983384452,Similar
KCTD6,-0.3616,0.01053,0.57,1.977571629,Similar
MEX3A,0.3088,0.01065,0.5708,1.972650392,Similar
ACTN1,-0.7487,0.01061,0.5708,1.974284616,Similar
TICAM1,-0.8589,0.01061,0.5708,1.974284616,Similar
NPC2,-0.6069,0.01078,0.5721,1.967381239,Similar
COL6A6,-0.969,0.01076,0.5721,1.968187729,Similar
ZC3HAV1,-0.6569,0.01073,0.5721,1.969400278,Similar
OAF,-0.7698,0.01096,0.5782,1.960189446,Similar
RNASE4,-0.9059,0.01096,0.5782,1.960189446,Similar
CYBASC3,-0.4846,0.011,0.5784,1.958607315,Similar
CSRNP1,-0.5808,0.01106,0.5795,1.956244873,Similar
HLA-B,-0.868,0.01116,0.5831,1.952335805,Similar
ZNF689,0.2551,0.01125,0.5858,1.948847478,Similar
SP9,0.9371,0.01128,0.5858,1.9476909,Similar
WASF2,-0.6745,0.0114,0.5886,1.943095149,Similar
SLFN12,-0.9886,0.01141,0.5886,1.942714356,Similar
FLNA,-0.614,0.01146,0.5896,1.940815382,Similar
FREM2,-0.9473,0.01154,0.5914,1.937794191,Similar
PDIA3P,-0.3457,0.01185,0.5983,1.92628165,Similar
GAS2L2,0.9302,0.01185,0.5983,1.92628165,Similar
FERMT1,-0.9868,0.01187,0.5983,1.925549281,Similar
SEC14L6,-0.9848,0.01193,0.5983,1.923359556,Similar
CSPG5,0.6937,0.01186,0.5983,1.925915311,Similar
C7orf41,0.3768,0.0119,0.5983,1.924453039,Similar
MYBL1,-0.5962,0.01188,0.5983,1.925183559,Similar
HJURP,-0.8059,0.01202,0.6014,1.920095532,Similar
SH3BP5L,0.2129,0.01241,0.6059,1.906228219,Similar
DDN,0.7147,0.01244,0.6059,1.90517962,Similar
RAB35,0.2403,0.0124,0.6059,1.906578315,Similar
RBPMS2,-0.6679,0.01232,0.6059,1.909389292,Similar
MYLK3,0.8447,0.01234,0.6059,1.90868484,Similar
ZFYVE20,0.2118,0.01226,0.6059,1.91150953,Similar
ACSL6,0.6116,0.01224,0.6059,1.912218582,Similar
PCDHGB1,-0.8347,0.01224,0.6059,1.912218582,Similar
SYNPO,-0.9788,0.01241,0.6059,1.906228219,Similar
ARHGAP17,-0.3736,0.01264,0.6065,1.898252926,Similar
ETFB,0.505,0.01264,0.6065,1.898252926,Similar
CRYBA4,-0.9657,0.01264,0.6065,1.898252926,Similar
F2RL2,-0.9768,0.01251,0.6065,1.90274269,Similar
STOM,-0.743,0.01264,0.6065,1.898252926,Similar
C15orf59,0.6647,0.01277,0.6072,1.893809103,Similar
NCAN,0.5804,0.01274,0.6072,1.894830572,Similar
GPC4,-0.7703,0.01277,0.6072,1.893809103,Similar
DES,-0.9714,0.01286,0.6096,1.890759031,Similar
LEPREL2,-0.7969,0.01293,0.6112,1.888401475,Similar
GRIN2A,0.6614,0.01302,0.6122,1.885389016,Similar
FAM84B,0.6649,0.01301,0.6122,1.885722703,Similar
CCND1,-0.5753,0.01313,0.6154,1.881735274,Similar
SEPN1,-0.3657,0.01325,0.6177,1.877784122,Similar
CGN,-0.7533,0.01333,0.6177,1.875169851,Similar
BAG5,0.2349,0.01328,0.6177,1.876801925,Similar
WWC2,-0.4373,0.01333,0.6177,1.875169851,Similar
ANO6,-0.5992,0.01349,0.6233,1.86998805,Similar
FZD4,-0.8521,0.01357,0.6255,1.867420152,Similar
DIAPH3,-0.7778,0.01367,0.6284,1.864231485,Similar
RUNX1,-0.9599,0.01374,0.6298,1.862013267,Similar
NTS,0.8462,0.01385,0.631,1.858550227,Similar
TBC1D8B,-0.9647,0.01381,0.631,1.859806321,Similar
GP5,-0.9553,0.01392,0.6324,1.856360765,Similar
ZNF547,0.5118,0.01398,0.6336,1.854492829,Similar
B2M,-0.7496,0.01412,0.6364,1.850165303,Similar
GPANK1,0.3544,0.01412,0.6364,1.850165303,Similar
MYCL1,0.564,0.01419,0.6377,1.848017605,Similar
C15orf42,-0.7478,0.01427,0.6397,1.845576027,Similar
PTP4A3,-0.6072,0.01435,0.6417,1.843148099,Similar
TGFB1I1,-0.8773,0.01443,0.6434,1.840733669,Similar
PTGDR2,-0.9554,0.0147,0.6467,1.832682665,Similar
RARG,-0.9358,0.01459,0.6467,1.835944708,Similar
RAB34,-0.8674,0.01459,0.6467,1.835944708,Similar
DSC2,-0.6871,0.0147,0.6467,1.832682665,Similar
FZD5,-0.654,0.01478,0.6467,1.830325566,Similar
KLHL18,0.249,0.01466,0.6467,1.83386603,Similar
PCDHGB5,-0.956,0.01477,0.6467,1.830619505,Similar
EFNA1,-0.7949,0.01488,0.6476,1.827397069,Similar
KIAA0087,0.9528,0.01488,0.6476,1.827397069,Similar
AURKA,-0.652,0.01506,0.6535,1.822175028,Similar
GAL3ST3,0.4134,0.01511,0.654,1.820735536,Similar
WNT7A,0.7548,0.01515,0.6543,1.819587367,Similar
C10orf105,0.8882,0.01528,0.6553,1.815876646,Similar
TUBA1C,-0.6215,0.01531,0.6553,1.815024809,Similar
ADAMTS9,-0.8947,0.01534,0.6553,1.81417464,Similar
PNMA2,0.4278,0.01524,0.6553,1.817015033,Similar
MAN1C1,-0.5596,0.01579,0.6597,1.80161787,Similar
CDC20,-0.7767,0.01562,0.6597,1.80631897,Similar
PACSIN3,-0.8907,0.01553,0.6597,1.808828544,Similar
PTHLH,-0.9265,0.01572,0.6597,1.803547458,Similar
DAZL,-0.9135,0.01572,0.6597,1.803547458,Similar
SRA1,0.3041,0.01559,0.6597,1.807153885,Similar
ARPC1B,-0.6737,0.0158,0.6597,1.801342913,Similar
IMMP2L,-0.4426,0.01559,0.6597,1.807153885,Similar
ROR2,-0.9148,0.01578,0.6597,1.801893001,Similar
PIEZO1,-0.7733,0.0159,0.6621,1.798602876,Similar
SOCS3,-0.9404,0.01601,0.6634,1.795608668,Similar
LOC150568,0.8026,0.01601,0.6634,1.795608668,Similar
RASL12,-0.8837,0.01609,0.665,1.793443956,Similar
SATL1,0.8447,0.01618,0.6671,1.791021483,Similar
C1orf27,-0.3158,0.01624,0.6679,1.789413975,Similar
TMEM198,0.4547,0.01647,0.6739,1.783306401,Similar
MYOT,-0.928,0.01645,0.6739,1.783834098,Similar
PLAU,-0.8276,0.01655,0.6749,1.781202002,Similar
GPC6,-0.5345,0.01662,0.6749,1.779368981,Similar
COPZ2,-0.9194,0.01661,0.6749,1.779630368,Similar
MTHFR,0.2998,0.01729,0.6753,1.762205007,Similar
PARD3,-0.3704,0.01726,0.6753,1.762959209,Similar
PDIA3,-0.3509,0.01708,0.6753,1.767512134,Similar
TPM1,-0.7177,0.01711,0.6753,1.76674999,Similar
PRC1,-0.5474,0.01718,0.6753,1.764976841,Similar
PLK1,-0.6854,0.01672,0.6753,1.776763727,Similar
PIEZO2,-0.8503,0.01699,0.6753,1.769806621,Similar
ZNF90,-0.7327,0.0169,0.6753,1.772113295,Similar
GALP,0.8155,0.01693,0.6753,1.771343042,Similar
LOC440905,-0.8935,0.01671,0.6753,1.77702355,Similar
RFTN1,-0.8999,0.01677,0.6753,1.775466937,Similar
TMEM196,0.7006,0.01701,0.6753,1.769295686,Similar
NOD1,-0.5152,0.01707,0.6753,1.767766479,Similar
GLI3,-0.8242,0.01696,0.6753,1.770574152,Similar
WBSCR27,-0.9343,0.01718,0.6753,1.764976841,Similar
C7orf34,0.9318,0.01721,0.6753,1.76421913,Similar
FRRS1,-0.8998,0.01774,0.676,1.751046385,Similar
FAM19A3,-0.8923,0.01788,0.676,1.747632486,Similar
CNIH3,-0.4817,0.01784,0.676,1.74860515,Similar
MDK,-0.7156,0.01749,0.676,1.757210191,Similar
GXYLT1,-0.6944,0.01783,0.676,1.748848657,Similar
CTDSP2,-0.5123,0.01765,0.676,1.75325529,Similar
SIX4,-0.8657,0.01784,0.676,1.74860515,Similar
SLCO3A1,0.4415,0.01784,0.676,1.74860515,Similar
PTBP1,-0.4376,0.0178,0.676,1.749579998,Similar
ZNF324,0.3139,0.01754,0.676,1.755970411,Similar
COLEC11,-0.9194,0.01776,0.676,1.750557039,Similar
APOBEC3B,-0.9292,0.01771,0.676,1.751781439,Similar
MAGEF1,0.3826,0.01768,0.676,1.752517739,Similar
SHROOM2,0.5668,0.01763,0.676,1.753747688,Similar
KIAA1217,-0.7442,0.01871,0.69,1.727926212,Similar
ST8SIA1,0.3806,0.01869,0.69,1.728390699,Similar
LOC338758,0.6997,0.01834,0.69,1.736600669,Similar
LOC283731,-0.4064,0.01872,0.69,1.727694156,Similar
LYSMD4,0.4181,0.01859,0.69,1.73072061,Similar
CYP1B1,-0.9248,0.01834,0.69,1.736600669,Similar
PDGFRB,-0.9184,0.01853,0.69,1.732124581,Similar
